lat, lon, grp
40.3301529999986, -79.9235009999994, 1
40.329934, -79.923175, 1
40.329904, -79.923046, 1
40.32993, -79.922628, 1
40.33002, -79.922644, 1
40.330803, -79.924749, 1
40.331065, -79.92527, 1
40.33148, -79.925768, 1
40.332104, -79.926222, 1
40.33239, -79.926597, 1
40.332504, -79.926868, 1
40.332586, -79.927477, 1
40.332576, -79.927659, 1
40.33154, -79.93064, 1
40.33154, -79.9307, 1
40.33152, -79.93097, 1
40.33201, -79.93261, 1
40.332, -79.93281, 1
40.33181, -79.93321, 1
40.33233, -79.93369, 1
40.332344000000525, -79.93366299999904, 1
40.33233, -79.93369, 1
40.33302, -79.93431, 1
40.33313, -79.93447, 1
40.33472, -79.93587, 1
40.33593, -79.93671, 1
40.33595800000017, -79.93662500000111, 1
40.33593, -79.93671, 1
40.33666, -79.93711, 1
40.33836, -79.93774, 1
40.33838099999876, -79.93765199999994, 1
40.33836, -79.93774, 1
40.33935, -79.93806, 1
40.34031, -79.93825, 1
40.34227, -79.93829, 1
40.34305, -79.93836, 1
40.34382, -79.9385, 1
40.34487, -79.93882, 1
40.34463, -79.93984, 1
40.34466899999884, -79.93986500000094, 1
40.34463, -79.93984, 1
40.34432, -79.94075, 1
40.343343, -79.940702, 1
40.34328, -79.94233, 1
40.3433, -79.9426, 1
40.34334999999911, -79.9425869999991, 1
40.3433, -79.9426, 1
40.34343, -79.94293, 1
40.34357, -79.94311, 1
40.34389, -79.94331, 1
40.344109, -79.943685, 1
40.344109, -79.944382, 1
40.344052, -79.944822, 1
40.343642, -79.944836, 1
40.343184, -79.944728, 1
40.34181, -79.943838, 1
40.341663, -79.943913, 1
40.341258999998615, -79.9448469999985, 1
40.3412, -79.945056, 1
40.341243, -79.94536, 1
40.341175, -79.94549, 1
40.341098, -79.945453, 1
40.341053, -79.945314, 1
40.34166, -79.943913, 1
40.341808, -79.943834, 1
40.343087, -79.944669, 1
40.344028, -79.94494, 1
40.343961, -79.946006, 1
40.343986, -79.946429, 1
40.344035, -79.946798, 1
